" 153160170","UJåCIE 1","NoteÊ (188)","02290"
" 153160160","UJåCIE 2","NoteÊ (188)","02300"
" 152160070","CZARNK”W","NoteÊ (188)","02301"
" 152160010","KRZYØ","NoteÊ (188)","02310"
" 152150190","NOWE DREZDENKO","NoteÊ (188)","02320"
" 152150140","GOåCIMIEC","NoteÊ (188)","023204"
" 152150090","SANTOK","NoteÊ (188)","023206"
" 152180070","PILICH","Dop≥yw spod Kuúnierza (1881414)","02321"
" 152179991","SKORZ CIN","Jez. NiedziÍgiel (1882119)","02322"
" 152180010","G BICE","Ma≥a NoteÊ (1882)","02330"
" 152189999","JANIKOWO","Jez. Pakoskie Pn. (1882919)","02331"
" 152179990","MOGILNO","Panna (18826)","02340"
" 152179989","MOGILNO","Jez. MogileÒskie (1882679)","02345"
" 152180020","GORYSZEWO","Panna (18826)","02350"
" 152170100","BISKUPIN","Jez. BiskupiÒskie (18836179)","02351"
" 152170090","ØNIN","Gπsawka (18836)","02360"
" 152170110","ØNIN","Jez. ØniÒskie Duøe (18836519)","02361"
" 153179992","ZAZDROå∆","Gπsawka (18836)","02370"
" 153179991","RYNARZEWO","Gπsawka (18836)","02371"
" 152170070","BRZYSKORZYSTEW","Pomorka (188366)","02380"
" 153170040","WYRZYSK","£obøonka (1884)","02390"
" 152160180","CHODZIEØ","Jez. Chodzieskie (188583)","023908"
" 153160120","WIERZCHOWO","Jez. Wierzchowo (1886119)","02391"
" 153169995","SPORE","Gwda (1886)","02400"
" 153160300","WIELIMIE","Jez. Wielimie (1886159)","02403"
" 153160200","GWDA WIELKA","Gwda (1886)","02410"
" 153169992","PODGAJE","Gwda (1886)","02411"
" 153160210","PTUSZA","Gwda (1886)","02420"
" 153169994","DOBRZYCA","Gwda (1886)","02430"
" 153160180","PI£A","Gwda (1886)","02440"
" 153160100","CIEMINO","Jez. Ciemino (18861411)","02441"
" 153160090","K•DZIELNIA","Nizica (188614)","02442"
" 153169996","JANOWO","Nizica (188614)","02450"
" 153160150","SZCZECINEK","Nizica (188614)","02460"
" 153160220","D£UGIE","Jez. Do≥gie (188617239)","02461"
" 153160260","CZARNE","Czernica (18862)","02470"
" 153160250","OKONEK","Czarna (188654)","02480"
" 153160140","DZIKI","Jez. Remierzewo (18865811)","02481"
" 153169993","P£YTNICA","Plitnica (188658)","02490"
" 153160050","SIKORY","Jez. Komorze (1886611)","02491"
" 153160290","KOMORZE","Jez. Komorze (1886611)","02492"
" 153160270","RAKOWO","Pi≥awa (18866)","02493"
" 153160070","NADARZYCE","Pi≥awa (18866)","02500"
" 153160190","ZABRODZIE","Pi≥awa (18866)","02510"
" 153160110","WIESI”£KA","Dobrzyca (188668)","02520"
" 153160060","NAKIELNO","Jez. BytyÒ Wielki (18866881)","02521"
" 153160230","DOBRZYCA","G≥omia (18868)","02530"
" 153170160","WIKTOR”WKO","Kocunia (188686)","02533"
" 153170020","BUNTOWO","Jez. S≥awianowskie (18868679)","02535"
" 153170150","S£AWIANOWO","Kocunia (188686)","02537"
" 153160130","STOBNO","KrÍpica (18872)","02540"
" 153160280","SMOLARNIA","Jez. StraduÒ (188785)","02546"
" 153160030","STARE DRAWSKO","Drawa (1888)","02550"
" 153160040","CZAPLINEK","Jez. Drawsko (188839)","02551"
" 153169998","RZEPOWO","Drawa (1888)","02560"
" 153169999","G£ BOCZEK","Jez. Krosino (1888513)","02561"
" 153150120","DRAWSKO POMORSKIE","Drawa (1888)","02570"
" 153150140","LUBIESZEWO","Jez. Lubie (18885359)","02571"
" 153150110","BOROWO","Drawa (1888)","02572"
" 153150100","DRAWNO","Drawa (1888)","02580"
" 153159997","KAMIENNA","Drawa (1888)","02590"
